PDB,Initial R,Final R,Initial R-free,Final R-free,Initial RMSD(bonds),Final RMSD(bonds),Initial RMSD(angles),Final RMSD(angles),Resolution
1csl,0.2091,0.1684,0.2379,0.2101,0.0053,0.0087,1.0429,1.5366,1.6
1d4r,0.2599,0.2443,0.286,0.281,0.0102,0.0071,1.4779,1.4443,2.0
1d9h,0.1701,0.1521,0.2198,0.1975,0.0144,0.012,1.5245,1.6601,1.6
1dc0,0.2071,0.1935,0.204,0.2064,0.0189,0.0155,1.8319,1.3968,1.3
1duh,0.2298,0.1979,0.2449,0.2347,0.0108,0.0096,1.1922,1.6773,2.7
1ei4,0.1928,0.1831,0.2045,0.2096,0.0175,0.0149,2.341,2.5778,1.43
1evv,0.2231,0.2125,0.2633,0.2693,0.0262,0.0084,2.2393,1.8413,2.0
1fq2,0.2084,0.1901,0.2231,0.2231,0.0167,0.0167,2.4989,1.9806,1.2
1g4q,0.1802,0.163,0.1943,0.1865,0.0288,0.0236,2.7601,2.2474,1.15
1hq7,0.2453,0.232,0.2762,0.2699,0.0184,0.0082,2.0042,1.6548,2.1
1i0g,0.2146,0.1867,0.2167,0.2154,0.0079,0.0152,0.9632,1.3125,1.45
1i0j,0.2294,0.1935,0.2353,0.2104,0.0797,0.0287,1.5416,1.8983,1.06
1i0k,0.2566,0.207,0.2607,0.226,0.0525,0.0187,1.3143,1.6087,1.05
1i0m,0.2428,0.1893,0.2392,0.2144,0.1254,0.0204,0.9363,1.4847,1.05
1i0n,0.292,0.1999,0.3015,0.247,0.0401,0.0171,3.1546,1.4398,1.3
1i0p,0.2375,0.1888,0.252,0.218,0.0296,0.0172,0.9226,1.423,1.3
1i2x,0.258,0.2366,0.2818,0.269,0.0105,0.007,1.5234,1.2995,2.4
1i2y,0.2203,0.2042,0.245,0.2365,0.012,0.0073,1.4922,1.2535,1.66
1i5w,0.164,0.1542,0.1798,0.175,0.0129,0.016,2.1907,2.3775,1.4
1i9x,0.2214,0.1878,0.232,0.2094,0.0074,0.0078,1.1639,1.5592,2.18
